store_id,uptime_last_hour_min,downtime_last_hour_min,uptime_last_day_hr,downtime_last_day_hr,uptime_last_week_hr,downtime_last_week_hr,now_utc
757882ce-7cdf-4376-aa1a-d0fb88f22f0f,34,0,11.6,2.4,60.06,11.94,2024-10-15 05:26:00 UTC
25948430-096b-47a7-a606-374dfcd8cf3c,34,0,11.6,2.4,54.44,17.55,2024-10-15 05:26:00 UTC
afc35982-8d07-4171-b900-66a2288ab33f,34,0,11.6,2.4,60.06,11.94,2024-10-15 05:26:00 UTC
12d529f6-0e7d-4486-b860-b5b104f20e95,34,0,11.6,2.4,60.05,11.95,2024-10-15 05:26:00 UTC
2a29016e-edba-4ff2-86b5-05e8d5b0ba50,34,0,11.6,2.4,60.05,11.95,2024-10-15 05:26:00 UTC
351bad07-4d64-4af1-8b91-c8441c2633c0,34,0,11.6,2.4,50.42,21.57,2024-10-15 05:26:00 UTC
498816d1-bec2-430f-839c-57e3128ac5d5,34,0,11.6,2.4,60.03,11.97,2024-10-15 05:26:00 UTC
4ec84d9f-c933-42ab-a728-86cbbf4839b6,34,0,11.59,2.4,60.03,11.97,2024-10-15 05:26:00 UTC
12090bc5-fb06-4f50-9c89-a7c3cd1cd96f,34,0,11.59,2.41,60.03,11.97,2024-10-15 05:26:00 UTC
ddd5673e-f108-4214-9bbb-664bf6b48eb0,34,0,11.59,2.41,57.4,14.6,2024-10-15 05:26:00 UTC
639e9467-6ec4-4e58-b58c-caaeb5abcc36,34,0,11.59,2.41,60.02,11.98,2024-10-15 05:26:00 UTC
9fd9d47f-9420-4e13-9ba7-ec1f1e297b6b,34,0,11.59,2.41,60.02,11.98,2024-10-15 05:26:00 UTC
2556ed43-46bd-4082-93a9-3c220828362a,34,0,11.59,2.41,60.02,11.98,2024-10-15 05:26:00 UTC
41b2cc13-04fd-496f-9778-9fb3cdf33bd7,34,0,11.59,2.41,60.01,11.99,2024-10-15 05:26:00 UTC
608bba4e-a0c8-47c3-bb89-0f96e49b73a0,34,0,11.59,2.41,60.01,11.99,2024-10-15 05:26:00 UTC
c3f09552-f2af-45af-90e0-bf7e31dfd6a5,34,0,11.59,2.41,57.01,14.99,2024-10-15 05:26:00 UTC
b3a2168d-f81d-43b5-8801-e34f848847d1,34,0,11.59,2.41,60.0,12.0,2024-10-15 05:26:00 UTC
b975a375-d547-4bda-9a59-73cd39b96a0d,34,0,11.59,2.41,60.0,12.0,2024-10-15 05:26:00 UTC
2d246d81-e6fe-4072-8a11-9a0652d70ef2,34,0,11.59,2.41,57.0,15.0,2024-10-15 05:26:00 UTC
f3b8d18d-0136-4189-baf2-ba4e016da11e,34,0,11.59,2.41,60.0,12.0,2024-10-15 05:26:00 UTC
b456e992-8444-407f-b58a-1670a2c24c8b,34,0,11.59,2.41,59.99,12.01,2024-10-15 05:26:00 UTC
d2b1929f-2fe9-4f21-a671-7027ecb42be9,0,0,10.59,2.41,55.99,12.01,2024-10-15 05:26:00 UTC
adfd31ae-95cb-4e9f-a3ff-dfb60d40d978,34,0,11.59,2.41,59.98,12.01,2024-10-15 05:26:00 UTC
0fb4daf9-d8dd-47f3-80e2-0d4b84822bcd,0,0,10.59,2.41,52.98,15.02,2024-10-15 05:26:00 UTC
e12303fe-4405-4f2c-aefc-97b63b18c848,34,0,11.58,2.42,59.98,12.02,2024-10-15 05:26:00 UTC
0a09a2de-955d-44b1-98ce-9dab582ab6a8,34,0,11.58,2.42,59.98,12.02,2024-10-15 05:26:00 UTC
a3c1074f-bfca-4e0c-bd8f-a8cebd415a18,34,0,11.58,2.42,59.97,12.03,2024-10-15 05:26:00 UTC
94c430bd-cffd-4e3e-863c-99e13dfffb78,34,0,11.58,2.42,56.97,15.03,2024-10-15 05:26:00 UTC
d488779c-a0a9-4bc3-8155-00024c3e5035,34,0,11.58,2.42,59.97,12.03,2024-10-15 05:26:00 UTC
3fb078e2-9300-4b8e-921c-f0ff3a339965,34,0,11.58,2.42,59.96,12.04,2024-10-15 05:26:00 UTC
2e1026a4-2b59-45e5-b62f-b5b97ddb2cf6,34,0,11.58,2.42,59.96,12.04,2024-10-15 05:26:00 UTC
bbfc5e32-5e37-405e-971a-8d75f505a9e2,26,0,1.0,0.0,8.43,0.57,2024-10-15 05:26:00 UTC
899c10d3-e06c-42f2-8ea3-bdb9d7ffcdb1,34,0,11.58,2.42,59.95,12.05,2024-10-15 05:26:00 UTC
c990bb3c-6a0e-43ab-a99b-0b197e8dabe8,34,0,11.58,2.42,59.95,12.05,2024-10-15 05:26:00 UTC
6a294088-a7c3-4e33-849b-68b471de6ab2,34,0,11.58,2.42,59.94,12.05,2024-10-15 05:26:00 UTC
e9a51f15-4563-4270-9596-dbc8cb958c08,34,0,11.58,2.42,59.94,12.06,2024-10-15 05:26:00 UTC
a6c53cb7-049a-40af-bccb-6527402de547,34,0,11.58,2.42,59.94,12.06,2024-10-15 05:26:00 UTC
db6b1d04-3658-41e6-9087-f5adc166bc38,34,0,11.58,2.42,56.94,15.06,2024-10-15 05:26:00 UTC
5ccce930-a15b-4f14-a79a-a907f669ee18,0,0,10.58,2.42,52.93,15.07,2024-10-15 05:26:00 UTC
85a9a2c5-9aae-4dbc-b533-36016be1a4be,34,0,11.57,2.43,59.93,12.07,2024-10-15 05:26:00 UTC
3840f375-13bf-4a31-b9fe-da7d5476d2fb,34,0,11.57,2.43,59.92,12.07,2024-10-15 05:26:00 UTC
f5f90cfb-ddb0-4172-a34e-d25ca4914f2f,34,0,11.57,2.43,56.92,15.08,2024-10-15 05:26:00 UTC
19a4b41d-602b-4ea3-b04f-9c7d22e11cd8,34,0,11.57,2.43,59.92,12.08,2024-10-15 05:26:00 UTC
def3388f-fb4c-4b52-973a-54be63e1a99b,34,0,11.57,2.43,59.91,12.08,2024-10-15 05:26:00 UTC
477603df-e75a-438e-b340-0feb00026d4f,34,0,11.57,2.43,59.91,12.09,2024-10-15 05:26:00 UTC
d33ce2be-26a9-4e35-b134-a3d8b431fa17,34,0,11.57,2.43,56.91,15.09,2024-10-15 05:26:00 UTC
2d031c07-78ec-451a-b6d6-191811634b72,34,0,11.57,2.43,59.91,12.09,2024-10-15 05:26:00 UTC
1575b4d9-8271-4cf7-acaa-c699dd3028e0,34,0,11.57,2.43,59.9,12.1,2024-10-15 05:26:00 UTC
78c89a12-2674-4ee4-8009-471ffc7044a8,34,0,11.57,2.43,59.9,12.1,2024-10-15 05:26:00 UTC
70fff745-cd3e-4589-af31-833b80d510d7,34,0,11.57,2.43,59.89,12.1,2024-10-15 05:26:00 UTC
e1665084-d5f4-4006-9c07-203ccf933bce,34,0,11.57,2.43,56.89,15.1,2024-10-15 05:26:00 UTC
5d38ed48-35b5-4d8f-b4dc-b33035dca206,34,0,11.57,2.43,59.89,12.11,2024-10-15 05:26:00 UTC
3998f452-28ab-416f-8ce6-d460de08ca42,34,0,11.56,2.43,56.88,15.12,2024-10-15 05:26:00 UTC
1271d4a9-a307-471b-9685-0d3cd4d3ea6e,34,0,11.56,2.44,56.88,15.12,2024-10-15 05:26:00 UTC
fcebe2b1-44e3-4026-9a36-335d1603c3e0,34,0,11.56,2.44,56.88,15.12,2024-10-15 05:26:00 UTC
c0c57fb9-7190-4379-9137-a62c547d74bc,34,0,11.56,2.44,59.87,12.13,2024-10-15 05:26:00 UTC
1e719786-d040-4ead-94c7-dd308c7c3cfd,34,0,11.56,2.44,59.87,12.13,2024-10-15 05:26:00 UTC
bb907cc0-85df-473d-96e7-96739d3ee75b,34,0,11.56,2.44,56.87,15.13,2024-10-15 05:26:00 UTC
0b63ed40-d9ff-4272-9908-3c7876a5eabd,34,0,11.56,2.44,59.86,12.14,2024-10-15 05:26:00 UTC
91a7d88b-b206-4556-b01e-5abbdff4c68b,34,0,11.56,2.44,59.86,12.14,2024-10-15 05:26:00 UTC
d41d8b69-5425-4f96-bf63-721c42c83dd0,34,0,11.56,2.44,56.3,15.69,2024-10-15 05:26:00 UTC
cfcbb207-d714-454b-b911-eac8ef2f69d7,34,0,11.56,2.44,56.85,15.14,2024-10-15 05:26:00 UTC
86c2f442-c401-44a9-917f-445396421211,34,0,11.56,2.44,56.85,15.15,2024-10-15 05:26:00 UTC
d162ee2e-a7f0-4cb9-8662-55c8cf2a7ebb,34,0,11.56,2.44,59.83,12.17,2024-10-15 05:26:00 UTC
79eb22f0-cad2-4f5a-905d-6343d6ff430f,60,0,11.98,1.45,61.81,10.19,2024-10-15 05:26:00 UTC
fa868c38-b0e2-4569-86e1-79ee68680f72,34,0,11.55,2.45,55.7,16.3,2024-10-15 05:26:00 UTC
9b0dd774-9ae3-421c-92c0-18523bf4df2d,34,0,11.55,2.45,59.8,12.2,2024-10-15 05:26:00 UTC
cd02ffc4-aa18-4eba-85d8-bcce3e19ed12,34,0,11.55,2.45,59.79,12.21,2024-10-15 05:26:00 UTC
1f7138f3-da2e-4935-9762-f3e063f793f8,60,0,11.98,1.45,64.79,7.21,2024-10-15 05:26:00 UTC
b0638033-12bd-4a5d-9d2c-fa1fa78b6490,60,0,11.98,1.45,64.79,7.21,2024-10-15 05:26:00 UTC
9b886a76-e306-4376-be5b-99ecbbcf496a,34,0,11.55,2.45,59.79,12.21,2024-10-15 05:26:00 UTC
ec42a2c7-fa28-43f8-89f3-7d79b9908b40,34,0,11.55,2.45,56.79,15.21,2024-10-15 05:26:00 UTC
